Nombre,Latitud,Longitud,Pais,Siglas,Tipo,Poblacion
Tokyo,35.6839,139.7744,Japón,JPN,Capital,39105000
Jakarta,-6.2146,106.8451,Indonesia,IDN,Capital,35362000
Delhi,28.6667,77.2167,India,IND,Capital Comunidad,31870000
Manila,14.6,120.9833,Filipinas,PHL,Capital,23971000
Sao Paulo,-23.5504,-46.6339,Brasil,BRA,Capital Comunidad,22495000
Seoul,37.56,126.99,Corea del Sur,KOR,Capital,22394000
Mumbai,19.0758,72.8775,India,IND,Capital Comunidad,22186000
Shanghai,31.1667,121.4667,China,CHN,Capital Comunidad,22118000
Mexico City,19.4333,-99.1333,México,MEX,Capital,21505000
Guangzhou,23.1288,113.259,China,CHN,Capital Comunidad,21489000
El Cairo,30.0444,31.2358,Egipto,EGY,Capital,19787000
Beijing,39.904,116.4075,China,CHN,Capital,19437000
Nueva York,40.6943,-73.9249,Estados Unidos,USA,Ciudad,18713220
Kolkata,22.5727,88.3639,India,IND,Capital Comunidad,18698000
Moscú,55.7558,37.6178,Rusia,RUS,Capital,17693000
Bangkok,13.75,100.5167,Tailandia,THA,Capital,17573000
Dhaka,23.7289,90.3944,Bangladés,BGD,Capital,16839000
Buenos Aires,-34.5997,-58.3819,Argentina,ARG,Capital,16216000
Osaka,34.752,135.4582,Japón,JPN,Capital Comunidad,15490000
Lagos,6.45,3.4,Nigeria,NGA,Capital Provincia,15487000
Estambul,41.01,28.9603,Turquía,TUR,Capital Comunidad,15311000
Karachi,24.86,67.01,Pakistán,PAK,Capital Comunidad,15292000
Kinshasa,-4.3317,15.3139,República Democrática del Congo,COD,Capital,15056000
Shenzhen,22.535,114.054,China,CHN,Capital Provincia,14678000
Bangalore,12.9791,77.5913,India,IND,Capital Comunidad,13999000
Ho Chi Minh City,10.8167,106.6333,Vietnam,VNM,Capital Comunidad,13954000
Teheran,35.7,51.4167,Irán,IRN,Capital,13819000
Los Angeles,34.1139,-118.4068,Estados Unidos,USA,Ciudad,12750807
Rio de Janeiro,-22.9083,-43.1964,Brasil,BRA,Capital Comunidad,12486000
Chengdu,30.66,104.0633,China,CHN,Capital Comunidad,11920000
Baoding,38.8671,115.4845,China,CHN,Ciudad,11860000
Chennai,13.0825,80.275,India,IND,Capital Comunidad,11564000
Lahore,31.5497,74.3436,Pakistán,PAK,Capital Comunidad,11148000
Londres,51.5072,-0.1275,Reino Unido,GBR,Capital,11120000
Paris,48.8566,2.3522,Francia,FRA,Capital,11027000
Tianjin,39.1467,117.2056,China,CHN,Capital Comunidad,10932000
Linyi,35.0606,118.3425,China,CHN,Ciudad,10820000
Shijiazhuang,38.0422,114.5086,China,CHN,Capital Comunidad,10784600
Zhengzhou,34.7492,113.6605,China,CHN,Capital Comunidad,10136000
Nanyang,32.9987,112.5292,China,CHN,Ciudad,10013600
Hyderabad,17.3617,78.4747,India,IND,Capital Comunidad,9840000
Wuhan,30.5872,114.2881,China,CHN,Capital Comunidad,9729000
Handan,36.6116,114.4894,China,CHN,Capital Provincia,9549700
Nagoya,35.1167,136.9333,Japón,JPN,Capital Comunidad,9522000
Weifang,36.7167,119.1,China,CHN,Ciudad,9373000
Lima,-12.06,-77.0375,Peru,PER,Capital,8992000
Zhoukou,33.625,114.6418,China,CHN,Capital Provincia,8953172
Luanda,-8.8383,13.2344,Angola,AGO,Capital,8883000
Ganzhou,25.8292,114.9336,China,CHN,Capital Provincia,8677600
Tongshan,34.261,117.1859,China,CHN,Capital Provincia,8669000
Kuala Lumpur,3.1478,101.6953,Malasia,MYS,Capital,8639000
Chicago,41.8373,-87.6862,Estados Unidos,USA,Ciudad,8604203
Heze,35.2333,115.4333,China,CHN,Capital Provincia,8287693
Chongqing,29.55,106.5069,China,CHN,Capital Comunidad,8261000
Hanoi,21.0245,105.8412,Vietnam,VNM,Capital,8246600
Fuyang,32.8986,115.8045,China,CHN,Ciudad,8200264
Changsha,28.1987,112.9709,China,CHN,Capital Comunidad,8154700
Dongguan,23.0475,113.7493,China,CHN,Capital Provincia,8142000
Jining,35.4,116.5667,China,CHN,Ciudad,8081905
Jinan,36.6667,116.9833,China,CHN,Capital Comunidad,7967400
Pune,18.5196,73.8553,India,IND,Ciudad,7948000
Foshan,23.0292,113.1056,China,CHN,Capital Provincia,7905700
Bogota,4.6126,-74.0705,Colombia,COL,Capital,7743955
Ahmedabad,23.03,72.58,India,IND,Capital Provincia,7717000
